1,SARAH KOENIG,Chapter VI.
2,BRIAN REED,"From Serial and This American Life, I'm Brian Reed. This is Shittown."
3,JOHN B. McLEMORE,"Phew. Stinking old car. Aw, man. Time to get another one."
4,BRIAN REED,"After a long day running around Bibb County together, to the courthouse and the library, and past the Burt family compound just to have a look at it, John and I are driving in his beat-up Mercedes back to his place. It's my last night here. I'm flying home tomorrow. John wants to swing by the Little Caesars to pick up a pizza for his mother. It's getting dark."
5,JOHN B. McLEMORE,"OK. We're going to take the shortcut through here, since the sun's diminishing arc is passing beneath the horizon. As the sun's diminishing arc passed beneath the horizon."
6,BRIAN REED,"A rare moment of quiet with John, in the dusk."
7,JOHN B. McLEMORE,Phew. I'm gonna miss ya. I hate to tell you that.
8,BRIAN REED,"I'm going to miss you, too."
9,JOHN B. McLEMORE,Shoot.
10,BRIAN REED,Hopefully I can get back down here.
11,JOHN B. McLEMORE,At least come down here once every now and then for a lecture on climate change and energy.
12,BRIAN REED,[LAUGHING]
13,JOHN B. McLEMORE,And the impossibility of paying our debts. [DOOR CHIMING]
14,MAN,I'm low on deep dish!
15,BRIAN REED,"John grabs a pepperoni pizza from the Little Caesars to bring home to Mary Grace. And as we're climbing back into the car in the parking lot, a very minor confrontation occurs. A manager emerges from the pizza place and says to me, were you recording in my store? I tell him, yeah, I was recording John. He says, there's no recording allowed. That's all right, I say. We're leaving anyway. We won't come back. Sorry."
16,MAN,That's all right. It's just so you know.
17,BRIAN REED,"That's it. The guy was fine to me. This was not a big deal. But as we drive away, John will not let it go."
18,JOHN B. McLEMORE,"My store, my store, oh, I love it. Oh, my store. That motherfucker. He doesn't own a pot to piss in or a litter to sling it at. He probably lives over at South Forty."
19,BRIAN REED,"South Forty trailer park, where Tyler lived at one point, across the street from John."
20,JOHN B. McLEMORE,"He thinks he's a top dog. He runs the Little Caesars in Buttfucksville, Alabama. In my store—is you recording anything in my store? (LAUGHING)"
21,BRIAN REED,"Like, I'm over this. But then John busts out this lovely word."
22,JOHN B. McLEMORE,"He's probably a fag, too. They always overcompensate. You know, I've been on both sides of the fence, so I know the psychology of heterosexual and homosexual. That's probably the type that likes to overcompensate. They call themselves tops. You know, they shout down the bottom. That's usually how that type of relationship works."
23,BRIAN REED,"John talking like this—it did make me wonder. This is going to sound like a ridiculous question, but is there a gay scene down here?"
24,JOHN B. McLEMORE,"Oh, my god. There's no telling how many closet cases are in this town. You turn that off, and I'll tell you something."
25,BRIAN REED,OK.
26,JOHN B. McLEMORE,Hit the kill button for a second.
27,BRIAN REED,"This is one of the few times John ever asked me to turn my recorder off. What that usually means is that I wouldn't tell you what he said without getting his permission to describe it. But there are a few reasons I am going to give you an overview of what he told me in the car that day. First, since John died, two other people who knew him well have told me the same information on the record. Also, John was very clear that he did not believe in God or an afterlife. So John, in his own view, is worm dirt now, unaffected by this. And lastly, what John disclosed, and where it led me after he died, helped me understand him so much more. And I think trying to understand another person is a worthwhile thing to do. So what he told me was about a local man with whom he'd had a sexual relationship not all that long ago. I'm not going to say exactly who the man was, because that's the part John wanted secret. It wasn't the fact that he had been with men that he didn't want recorded, but that he had been with this particular guy. Because John had talked to me about this guy already, multiple times, and told me that he was not a good person. The guy worked on John's yard over the years. And for a while, they'd been close. After John committed suicide, I went to meet with the man. We did an interview on the record, but I'm not going to use the recording. He's friendly when I arrive and open to talking. We sit, and periodically as we speak, his wife wanders by and eavesdrops. He says his relationship with John was close but a working one. John would pay him to do projects on the house and yard, which John did with lots of people. And the man says that over time John became overly attached to him. John didn't like for the man to leave or when he had other commitments. At a moment when his wife isn't around, I ask the guy if his and John's relationship was romantic, if it was sexual. I think that's what he wanted, the man says. I think he just wanted a partner. Not so much sex, I guess. I hope not. Had me scared, though. And so it wasn't ever sexual with you guys, I ask. Mm-mm, he says. 'Cause he said otherwise, I tell him. The man snaps his head towards me with big eyes. Mm, he says. I tell him he doesn't need to talk about it if he doesn't want, but because John told me about it, I felt compelled to ask. Mm, he says again. He pauses. Mm-mm. And that is all that is said on the matter, though there is one moment later in the conversation when the man is telling me about the reason he and John started spending less time together. The man had started dating a woman, and John would say harsh things about her. He says he knew what John was trying to do—he was trying to get the man to be with him instead. But that ain't what I wanted, the man tells me. I don't want no boyfriend. I want a girlfriend. I'm straight and gonna stay that way, too. I left my visit with that man, more than a year after John killed himself, feeling lots of things, but mostly feeling like, ugh, is that what passed for love in John's life? This guy maybe who has a wife and doesn't acknowledge their relationship, and who John thinks is an asshole, anyway? John did have Tyler, I guess, and Michael Fuller, years back, both of whom he clearly cared about, but both of whom were in very unstable situations and, oh yeah, were also straight. Tyler says he and John would tell each other, I love you, man, of course with the requisite caveat that they weren't trying to get up each other's butts. But that's not love, like love love, the kind of love I hear about all the time on the country music stations as I'm driving around west Alabama. [MUSIC - ""LOVE YOU LIKE THAT"" BY CANAAN SMITH] Did John ever have love in his life? Not ""I really feel something for this kid Tyler"" love, but Mississippi River love, fifth of whiskey love, muscadine wine, Tom Petty track, all night till the sun come back love. Or even a quieter, steadier, maybe even longer love. Did John ever have a relationship resembling any of that, or did he spend the entirety of a lifetime without it? One night in October 2015, as I was getting married, actually, an email showed up in my inbox. No, I was not checking my email during my wedding. I noticed it the following week. Hello, sir, it began. My name is Olin Long and I was a friend of John B McLemore for 12 years. I recently learned of his death. Olin Long. I'd never heard that name before, and it was not on John's contact list that he left behind after his suicide. Olin goes on to explain in his email that he had corresponded with a friend of John's who was on the list, whom I'd spoken to, and that man told Olin about me, that I was doing a story about John. Can you let me know when this segment will air, Olin writes, I would very much like to listen. Also, I need to know the radio station number, AM or FM. Thank you. I write back and tell Olin it's nice to hear from him, albeit under unfortunate circumstances. I've been talking to all sorts of friends of John's, I explain, learning about him. Would he be open to speaking to me sometime? He agrees. He tells me he lives in Birmingham about 40 miles from John's place in Woodstock. He prefers not to meet at his house, so a few months later I rent a motel room and set it up as a makeshift recording studio. Waiting in the lobby, I see a man walk in, peering around. He's fit, but not skinny, neatly dressed in a well-fitting red sweatshirt and jeans. It's Olin. We shake hands and head into the room. Welcome to the digs."
28,OLIN LONG,The recording studio.
29,BRIAN REED,Yeah.
30,OLIN LONG,All right.
31,BRIAN REED,"Later, when we get to know each other, Olin will ask me how old I think he is, and I will guess John's age, about 50, maybe even younger. But he tells me he's about to turn 60. The years haven't shown in him the way they do in others. He sits with good posture. Military posture, I learn, when I ask him to talk about himself so I can check the levels of the mic. Let me get a quick level on your voice. He was a linguist in the Air Force, with top-secret security clearance, specializing in German and Russian."
32,OLIN LONG,What I did was just listen to Russian pilots talk and send it to the National Security Agency.
33,BRIAN REED,"These days, he's a registered nurse at a nearby hospital."
34,OLIN LONG,I work in the Surgical Intensive Care Unit there.
35,BRIAN REED,"Oh, really?"
36,OLIN LONG,Yeah. Are you getting a good reading here?
